Dominica,1/9/2022,101
European Union,1/21/2022,2639676
Finland,1/26/2022,48479
Finland,1/19/2022,26015
Syria,1/9/2022,16376
Cape Verde,1/13/2022,2607
Peru,2/13/2022,97908
Guatemala,1/25/2022,71692
Chile,2/11/2022,60582
Africa,1/19/2022,1845375
India,1/24/2022,6793794
Iraq,1/21/2022,49105
Pakistan,1/19/2022,661267
Russia,1/29/2022,252510
Greece,1/20/2022,68751
Dominican Republic,2/11/2022,18409
Turks and Caicos Islands,1/4/2022,122
Cuba,1/11/2022,150022
South Korea,1/20/2022,352678
Macao,1/8/2022,1748
South America,2/2/2022,2833576
Pakistan,2/16/2022,1897034
Tonga,1/16/2022,111
Armenia,1/9/2022,4895
Guyana,1/16/2022,1978
Montenegro,1/3/2022,1155
British Virgin Islands,1/1/2022,11
Curacao,1/21/2022,509
Bermuda,1/15/2022,118
Laos,1/5/2022,35334
Italy,2/2/2022,452161
Austria,1/28/2022,27918
Afghanistan,1/15/2022,12023
Luxembourg,2/2/2022,2749
Turkey,2/2/2022,156661
Democratic Republic of Congo,1/13/2022,5760
Vietnam,2/11/2022,512711
Poland,1/10/2022,175221
Romania,1/1/2022,14961
Lebanon,1/27/2022,12152
Democratic Republic of Congo,2/8/2022,5476
Laos,2/5/2022,48048
Finland,1/28/2022,45037
Macao,2/9/2022,1265
Ethiopia,2/20/2022,938536
Sudan,1/9/2022,8915
Indonesia,1/3/2022,1528279
Jamaica,1/9/2022,3811
Libya,1/5/2022,9635
Curacao,1/10/2022,1660
Afghanistan,1/6/2022,17604
Nepal,1/31/2022,282557
Algeria,1/5/2022,22589
Slovenia,1/16/2022,8963
Czechia,1/26/2022,35548
Georgia,2/12/2022,3504
Botswana,2/17/2022,
Latvia,1/31/2022,5254
Georgia,1/9/2022,5731
Dominican Republic,1/11/2022,15966
Mauritania,2/2/2022,4508
Australia,2/15/2022,157389
Serbia,1/4/2022,7562
Serbia,2/3/2022,3561
Turkey,2/15/2022,146135
Cape Verde,1/27/2022,2853
Antigua and Barbuda,2/4/2022,18
Jordan,2/4/2022,14926
Georgia,1/4/2022,4656
France,2/9/2022,202986
Netherlands,1/27/2022,49126
Lithuania,2/8/2022,2033
Finland,2/18/2022,9275
Isle of Man,2/2/2022,114
Ecuador,2/6/2022,58082
Malaysia,2/7/2022,74761
Scotland,1/6/2022,15943
Greenland,1/27/2022,21
Panama,2/20/2022,12191
Bhutan,1/17/2022,4968
